date,oil_rate_bbl_d,gas_rate_mscf_d,water_rate_bbl_d,wellhead_pressure_psi,temperature_f
2022-01-01,342.31,292.68,0.0,1830.1,268.4
2022-01-02,329.72,269.37,1.12,1822.1,265.4
2022-01-03,333.09,295.49,2.26,1835.4,259.7
2022-01-04,302.62,270.63,3.08,1820.5,267.4
2022-01-05,291.9,248.43,3.97,1833.9,264.7
2022-01-06,319.27,265.46,5.43,1798.6,265.1
2022-01-07,341.03,303.07,6.96,1819.2,266.3
2022-01-08,324.43,278.09,7.73,1844.7,262.8
2022-01-09,344.35,318.34,9.38,1806.6,265.8
2022-01-10,337.24,316.81,10.34,1845.4,266.7
2022-01-11,315.78,286.12,10.76,1809.3,266.4
2022-01-12,333.18,290.85,12.5,1802.3,264.4
2022-01-13,337.55,317.87,13.82,1803.2,267.6
2022-01-14,311.54,272.07,13.82,1792.1,263.6
2022-01-15,308.57,259.9,14.75,1756.2,264.4
2022-01-16,313.21,261.15,16.05,1810.9,265.4
2022-01-17,272.75,227.08,14.92,1834.6,266.2
2022-01-18,313.61,270.54,18.23,1797.8,265.0
2022-01-19,319.51,282.1,19.68,1796.5,268.1
2022-01-20,309.76,248.38,20.14,1779.5,266.2
2022-01-21,311.95,263.15,21.37,1803.8,265.8
2022-01-22,305.14,266.11,21.95,1777.4,266.2
2022-01-23,274.49,244.49,20.7,1781.0,267.1
2022-01-24,329.36,283.84,25.98,1741.8,266.1
2022-01-25,297.64,259.98,24.51,1760.1,262.0
2022-01-26,293.03,237.2,25.14,1775.5,267.8
2022-01-27,321.99,265.18,28.75,1783.8,265.9
2022-01-28,315.38,271.32,29.25,1781.9,267.0
2022-01-29,303.91,268.94,29.24,1729.1,264.8
2022-01-30,310.47,271.01,30.96,1728.6,262.0
2022-01-31,280.91,232.11,28.99,1767.4,261.1
2022-02-01,296.08,252.47,31.58,1738.3,263.8
2022-02-02,315.64,292.96,34.77,1768.6,266.7
2022-02-03,285.6,253.16,32.46,1715.7,268.2
2022-02-04,280.06,239.71,32.8,1743.9,266.2
2022-02-05,295.1,241.59,35.6,1742.7,263.5
2022-02-06,294.61,245.16,36.57,1750.5,264.1
2022-02-07,301.75,260.47,38.51,1717.8,268.4
2022-02-08,271.38,237.41,35.58,1696.6,263.0
2022-02-09,253.59,225.02,34.14,1737.0,269.8
2022-02-10,303.17,266.69,41.87,1741.6,269.4
2022-02-11,273.36,231.52,38.71,1748.8,269.9
2022-02-12,279.4,234.94,40.55,1719.0,266.4
2022-02-13,256.01,243.52,38.05,1739.3,265.0
2022-02-14,301.22,252.7,45.83,1731.1,266.4
2022-02-15,290.76,234.7,45.26,1745.4,267.5
2022-02-16,289.37,229.25,46.05,1715.4,264.3
2022-02-17,288.46,244.52,46.92,1679.5,263.4
2022-02-18,254.16,229.63,42.24,1710.3,265.1
2022-02-19,268.63,225.13,45.59,1711.0,264.1
2022-02-20,275.39,255.19,47.7,1717.2,268.1
2022-02-21,270.44,233.28,47.8,1673.7,264.4
2022-02-22,276.36,251.71,49.81,1695.8,265.8
2022-02-23,282.81,234.8,51.97,1717.0,267.6
2022-02-24,292.6,243.12,54.8,1695.1,268.2
2022-02-25,257.24,222.99,49.09,1688.7,266.1
2022-02-26,276.89,244.7,53.81,1730.5,266.4
2022-02-27,286.06,244.64,56.6,1668.6,263.6
2022-02-28,262.73,230.03,52.91,1712.3,267.7
2022-03-01,272.03,241.65,55.74,1705.7,268.2
2022-03-02,280.29,224.69,58.42,1678.4,261.9
2022-03-03,273.28,231.8,57.93,1679.8,269.2
2022-03-04,281.54,236.65,60.67,1677.4,264.2
2022-03-05,272.88,229.94,59.77,1679.4,266.8
2022-03-06,266.6,234.74,59.33,1661.5,265.8
2022-03-07,254.23,213.84,57.48,1662.5,265.5
2022-03-08,272.63,211.67,62.6,1661.6,265.2
2022-03-09,269.88,230.13,62.92,1659.9,263.7
2022-03-10,254.49,207.92,60.23,1657.8,266.7
2022-03-11,274.8,243.02,66.01,1616.8,265.1
2022-03-12,283.16,254.19,69.01,1661.2,263.0
2022-03-13,256.76,197.47,63.49,1646.4,263.6
2022-03-14,255.14,211.65,63.99,1617.3,263.1
2022-03-15,253.94,223.0,64.58,1645.3,264.6
2022-03-16,241.19,193.46,62.19,1642.3,266.6
2022-03-17,288.85,259.01,75.5,1673.1,264.2
2022-03-18,255.93,232.43,67.8,1634.5,267.6
2022-03-19,249.86,213.86,67.07,1656.3,265.4
2022-03-20,245.66,203.78,66.81,1668.3,265.1
2022-03-21,254.56,194.29,70.13,1625.8,265.7
2022-03-22,249.86,224.39,69.72,1635.1,268.4
2022-03-23,276.69,262.67,78.18,1668.3,262.9
2022-03-24,241.33,226.95,69.04,1636.0,269.0
2022-03-25,236.93,202.46,68.62,1636.6,267.6
2022-03-26,263.01,214.56,77.1,1618.6,265.6
2022-03-27,253.86,228.24,75.31,1638.2,268.0
2022-03-28,251.67,215.8,75.55,1621.4,265.0
2022-03-29,260.89,230.51,79.24,1583.3,266.2
2022-03-30,254.81,223.21,78.29,1610.5,264.6
2022-03-31,251.77,218.27,78.24,1591.7,267.6
2022-04-01,233.96,212.28,73.53,1615.3,264.2
2022-04-02,230.01,209.06,73.1,1592.5,265.5
2022-04-03,241.47,202.92,77.59,1618.1,267.0
2022-04-04,236.0,194.25,76.66,1607.1,267.7
2022-04-05,252.17,190.41,82.8,1579.0,264.0
2022-04-06,225.81,191.48,74.94,1591.9,267.1
2022-04-07,241.89,197.32,81.13,1611.9,263.7
2022-04-08,244.59,215.49,82.89,1620.2,261.3
2022-04-09,245.54,208.32,84.08,1576.9,264.1
